,index,artists,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,valence
40,15646,"['Ludacris', 'Shawnna']",0.16,0.915,0.79,4LwOrnuxJwR7C5Sw4liY4Z,0.0,6,0.112,-3.1860000000000004,0,What's Your Fantasy (Featuring Shawna),0.207,140.095,0.967
41,15647,['Godsmack'],1.74e-05,0.395,0.7559999999999999,6xXlurslWqFuyqTCBlErzX,0.00665,7,0.319,-4.12,1,Awake,0.0544,112.092,0.475
42,15648,['Fuel'],0.000144,0.301,0.823,1sjrDQXqAa9V07FjKIlAQ4,0.000309,1,0.0833,-4.072,1,Hemorrhage (In My Hands),0.0433,152.017,0.3720000000000001
43,15649,['Five For Fighting'],0.0733,0.382,0.416,3TwtrR1yNLY1PMPsrGQpOp,0.0,0,0.0719,-9.303,1,Superman (It's Not Easy),0.0302,102.089,0.125
44,15650,['Christina Aguilera'],0.0687,0.575,0.7440000000000001,32h59T8q2SonUPJ006lyXt,0.0,1,0.0723,-5.466,1,This Christmas,0.0603,183.79,0.701
45,15651,['Wheatus'],0.36,0.617,0.84,3LI4MmibTkXH5cGpCGZgyw,8.85e-05,4,0.179,-4.063,1,Teenage Dirtbag,0.0512,94.676,0.57
46,15652,['A Perfect Circle'],3.45e-05,0.366,0.894,5KDNFlHAdDJ84fhK27c35X,0.17,11,0.267,-4.682,0,Judith,0.0568,82.305,0.304
47,15653,['Sam Cooke'],0.915,0.5770000000000001,0.254,5aivQ5CkXXHJoMLy0o92HL,0.0,4,0.136,-10.13,0,You Send Me,0.0302,96.77,0.472
48,15654,['Eminem'],0.155,0.897,0.5589999999999999,5eGEc27nnhtmcOh6RC890a,0.000127,11,0.296,-8.267999999999999,1,Kill You,0.379,106.991,0.677
49,15655,['Joe'],0.26,0.725,0.487,1m2xMsxbtxv21Brome189p,1.09e-05,8,0.431,-5.959,0,I Wanna Know,0.0368,136.086,0.599
50,15656,['Limp Bizkit'],0.02,0.5760000000000001,0.8640000000000001,2gSVKxPDww9Eep5rdvtdem,1.68e-06,6,0.6829999999999999,-3.981,1,My Way,0.0462,97.225,0.609
51,15657,['*NSYNC'],0.354,0.55,0.5870000000000001,46n2EGFnPC3tzWCN1Aqe26,0.0,2,0.128,-6.279,1,This I Promise You,0.0329,165.975,0.466
52,15658,"['Ja Rule', 'Vita']",0.0024,0.831,0.79,0OvwzS8FX73Bw7ykMRmffU,0.0,1,0.0515,-4.714,0,Put It On Me,0.165,93.14,0.7909999999999999
53,15659,['Christina Aguilera'],0.871,0.244,0.274,0iV9yfj1knFNOSEiuTHZwl,1.18e-05,8,0.0897,-10.433,1,Have Yourself a Merry Little Christmas,0.04,68.53399999999999,0.1639999999999999
54,15660,['Faith Hill'],0.59,0.266,0.333,1msuiw6pnXYfxZ7Edyit9U,0.0,10,0.121,-9.876,1,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",0.031,109.479,0.0796
55,15661,['Rage Against The Machine'],0.00184,0.6509999999999999,0.908,5YBVDvTSSSiqv7KZDeUlXA,0.000579,2,0.384,-4.019,1,Renegades Of Funk,0.0577,123.851,0.769
56,15662,['OutKast'],0.0555,0.746,0.978,3WibbMr6canxRJXhNtAvLU,4.11e-05,9,0.026,-5.324,1,B.O.B. - Bombs Over Baghdad,0.0978,153.809,0.653
57,15663,['Matchbox Twenty'],0.4270000000000001,0.544,0.659,2f5N826udWfjT9iomeaBJt,1.33e-06,9,0.126,-7.191,1,If You're Gone,0.0298,109.933,0.361
58,15664,['Erykah Badu'],0.48,0.753,0.472,7pv80uUHfocFqfTytu1MVi,0.0133,3,0.284,-9.761,0,Didn't Cha Know,0.121,135.27700000000002,0.816
59,15665,['Enya'],0.841,0.418,0.249,6FLwmdmW77N1Pxb1aWsZmO,0.6609999999999999,3,0.112,-13.744000000000002,1,Only Time,0.0301,82.803,0.213
60,15666,['Mindless Self Indulgence'],0.000916,0.63,0.76,09RhTAi0nuzCs5KS2XWSs5,0.000856,1,0.0766,-10.347,1,Faggot,0.115,152.042,0.561
61,15667,['The Temptations'],0.451,0.8170000000000001,0.405,7MiLmLbwNoyf47xQ4TCVYp,0.0507,10,0.0468,-13.513,0,Papa Was A Rollin' Stone - Single Version,0.0811,121.467,0.898
62,15668,"['Eminem', 'Dr. Dre', 'Snoop Dogg', 'Xzibit', 'Nate Dogg']",0.0783,0.918,0.586,7lgvU7WnwcNZ8dbGUz8yhP,0.0,1,0.145,-2.89,1,Bitch Please II,0.133,95.517,0.779
63,15669,['Mudvayne'],9.62e-05,0.623,0.983,7vrLphPq4yjaX7jiDdd2Nc,0.0617,11,0.261,-3.548,0,Dig,0.151,134.975,0.271
64,15670,['Phil Vassar'],0.351,0.596,0.706,4LlNoNZflek4hZyZigCxpW,0.0,2,0.36,-5.562,1,Just Another Day In Paradise,0.0262,146.088,0.7040000000000001
65,15671,['Linkin Park'],0.00834,0.555,0.8440000000000001,3tSmXSxaAnU1EPGKa6NytH,0.0,3,0.0895,-6.567,0,In the End,0.0554,105.195,0.464
66,15672,['Insane Clown Posse'],0.00411,0.919,0.785,4y8G3pyyBvBKd47iyvHBNj,0.0,1,0.112,-4.141,1,My Axe,0.0806,109.045,0.8009999999999999
67,15673,['Backstreet Boys'],0.252,0.575,0.7859999999999999,35o9a4iAfLl5jRmqMX9c1D,0.0,9,0.159,-4.353,1,Shape of My Heart,0.0296,96.102,0.518
68,15674,['Toni Braxton'],0.00947,0.7390000000000001,0.947,7f1Dmr246cJ9uQYdbplTbh,2.99e-05,11,0.326,-1.915,0,He Wasn't Man Enough,0.0412,88.009,0.763
69,15675,['Joan Sebastian'],0.5539999999999999,0.5720000000000001,0.433,7jtbRKtXtGtsJOBMaBo72W,7.37e-05,5,0.108,-8.086,1,Me Gustas,0.0294,145.375,0.504
70,15676,['Travis Tritt'],0.101,0.647,0.8740000000000001,58rdbCe3SBJuJeWEJa8Htm,1.7899999999999998e-05,9,0.277,-5.075,0,Modern Day Bonnie and Clyde,0.0337,89.727,0.918
71,15677,['Radiohead'],0.8270000000000001,0.157,0.145,4DPQvbgSM0IdX4O3HOACwL,0.8859999999999999,6,0.109,-21.359,1,Treefingers,0.0354,138.305,0.0635
72,15678,['Los Tucanes De Tijuana'],0.523,0.92,0.629,1yxJIFPhP2EqnQ6oWJKbmP,0.0,10,0.116,-4.717,1,Mis Tres Viejas,0.0343,98.865,0.968
73,15679,['Sade'],0.0849,0.653,0.429,7H3ojI1BsVy0dEJENqMt1k,0.00371,11,0.0693,-10.473,1,By Your Side,0.0297,146.07299999999995,0.627
74,15680,['Nelly Furtado'],0.138,0.622,0.608,4sUoWHVnJl8z3t4zdqf6xB,5.38e-06,10,0.273,-5.085,1,I'm Like A Bird,0.036,89.661,0.607
75,15681,['Coldplay'],0.189,0.565,0.546,0R8P9KfGJCDULmlEoBagcO,0.0015,11,0.17,-7.496,0,Trouble,0.0314,139.757,0.195
76,15682,['Goldfinger'],0.00103,0.285,0.843,0rOTMSSa6yscfOrGnzfheM,0.00037,4,0.327,-7.318,1,99 Red Balloons,0.129,97.051,0.282
77,15684,['Limp Bizkit'],0.0175,0.425,0.852,2avKuMN2QXkaG9vvHa2JLt,0.306,11,0.0935,-5.607,1,Take A Look Around,0.046,101.968,0.512
78,15687,"['The Soggy Bottom Boys', 'Dan Tyminski']",0.6659999999999999,0.564,0.328,0YwNdeDFbGP6AGwsQrtzdY,0.0,5,0.0915,-13.095999999999998,1,I Am A Man Of Constant Sorrow - Radio Edit,0.0292,85.881,0.725
79,15688,['Cat Power'],0.94,0.561,0.0859,1J3w85cS3FEmoSKRu2dQJ8,0.0,6,0.16,-11.478,0,Sea of Love,0.0511,78.372,0.117
80,15689,['Linkin Park'],0.0144,0.603,0.908,5rAxhWcgFng3s570sGO2F8,0.0,11,0.6709999999999999,-5.254,1,A Place for My Head,0.184,133.063,0.457
81,15691,['Britney Spears'],0.128,0.7070000000000001,0.923,5QhBKPqsnX1uY9fZNaAtZg,0.000437,11,0.273,-3.957,1,Stronger,0.0521,108.049,0.8420000000000001
82,15692,['Deftones'],0.00188,0.345,0.797,7IoK6jZBxY7NMoQPoPXZCF,0.0668,0,0.145,-6.152,1,Passenger,0.0551,117.987,0.223
83,15693,['The Laurie Berkner Band'],0.638,0.687,0.242,21ryEt5nCkFjsHJHegnLOA,9.16e-05,0,0.0686,-9.016,1,We Are The Dinosaurs,0.0577,119.232,0.78
84,15694,['Joan Sebastian'],0.76,0.569,0.483,47PiSg7z5qjUyEGKN4I1g7,4.75e-05,2,0.106,-7.1110000000000015,1,Secreto De Amor,0.0421,96.502,0.624
85,15695,['Phoenix'],0.0492,0.755,0.5529999999999999,3AA8xNhDC0MpqwkGX3EP5V,0.00607,6,0.0646,-9.449,0,If I Ever Feel Better,0.107,119.7,0.836
86,15696,['Mindless Self Indulgence'],0.0263,0.696,0.72,7wwLxmUVLCfySaJ0fdyelI,0.0647,9,0.192,-6.803999999999999,1,Bitches,0.0976,95.897,0.542
87,15697,['Linkin Park'],0.03,0.512,0.97,5egqKwgK5r5rvGD1LrtR7J,0.0,8,0.0994,-3.886,0,Points of Authority,0.212,94.952,0.4270000000000001
88,15698,['Britney Spears'],0.262,0.765,0.7909999999999999,2TTYIwTM2iLC1YOyHuhRMt,0.000154,8,0.0669,-5.7070000000000025,1,Lucky,0.0317,95.026,0.966
89,15699,['The Beatles'],0.26,0.377,0.916,6nEkxYIEnrbYH7h1hJ8Xn6,0.0,4,0.074,-3.199,0,She Loves You - Mono / Remastered,0.0481,75.533,0.912
90,15700,['Los Tucanes De Tijuana'],0.222,0.665,0.599,587p8shYuTXUhThG3t9x60,0.0,7,0.123,-5.082,1,El Amor Soñado,0.0264,142.975,0.629
91,15701,"['Frédéric Chopin', 'Mikhail Pletnev']",0.992,0.225,0.0047,2MSgFefjK0T7Iwjvr3OKqV,0.8809999999999999,1,0.0722,-30.928,0,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",0.0509,163.665,0.186
92,15705,['Baha Men'],0.0605,0.8690000000000001,0.887,1H5tvpoApNDxvxDexoaAUo,0.0,0,0.148,-4.505,1,Who Let The Dogs Out,0.0993,129.221,0.784
93,15708,['Radiohead'],0.6990000000000001,0.293,0.462,5AiNZnMDCWwujIENPj9PV9,0.0444,5,0.0954,-11.412,0,Everything In Its Right Place,0.0453,124.004,0.0623
94,15709,['A Perfect Circle'],0.00383,0.518,0.7440000000000001,5kHkaBN8OEQlmXfQkACxSt,0.0069999999999999,9,0.078,-8.248,1,3 Libras,0.0374,144.019,0.211
95,15710,['JAY-Z'],0.301,0.8,0.922,0s46SltT4On0Z6kglK1I5c,9.31e-06,4,0.0352,-5.125,0,I Just Wanna Love U (Give It 2 Me),0.24,98.631,0.8009999999999999
96,15711,['Coldplay'],0.206,0.602,0.612,2QhURnm7mQDxBb5jWkbDug,0.00607,0,0.107,-8.408999999999999,1,Don't Panic,0.0335,122.062,0.453
97,15712,['The Offspring'],5.59e-05,0.491,0.966,6hwQ69v7VbPhTTR2fOtYX7,0.0,4,0.307,-4.28,1,Want You Bad,0.0538,105.544,0.614
98,15713,['Joan Sebastian'],0.517,0.594,0.39,5susfx6SX1tebTCLSxe74K,0.0,9,0.118,-9.174,1,Un Idiota,0.0396,85.366,0.34
99,15714,['Craig David'],0.23,0.659,0.812,0gPQTLaqHDgdupKEok7J2x,0.0,4,0.0951,-7.499,0,7 Days,0.0487,83.01299999999998,0.888
100,15715,['Linkin Park'],0.0142,0.636,0.884,6xtQ23d8GEXgcxyUKPtwc5,0.0,7,0.253,-4.743,1,Runaway,0.0584,109.16,0.446
101,15716,['The Specials'],0.0492,0.665,0.7659999999999999,2vEUFrRByOKob8yqOd6LuA,0.338,10,0.113,-9.454,0,Ghost Town,0.0505,73.683,0.905
102,15717,['Louis Armstrong'],0.779,0.723,0.0811,5y8zb3grlQonjdqd27K39T,0.0,0,0.509,-14.113,1,A Kiss To Build A Dream On - Single Version,0.0631,88.044,0.36
103,15718,['Deftones'],0.00122,0.338,0.8590000000000001,2jSJm3Gv6GLxduWLenmjKS,0.211,4,0.0936,-4.938,0,Digital Bath,0.0824,92.966,0.504
104,15721,['Alex Bueno'],0.269,0.872,0.6409999999999999,0ndYI8UT0PMaJzKLJbFr35,0.0,6,0.0694,-7.7360000000000015,1,Que Vuelva,0.0406,134.961,0.943
105,15722,['The Jackson 5'],0.439,0.67,0.584,3tSi6iFO9yLGIYIqMEgjC9,0.00614,8,0.178,-8.325,1,I Want You Back,0.034,98.185,0.944
106,15726,['The Jackson 5'],0.426,0.725,0.804,01gwPP2h3ajRnqiIphUtR7,0.000504,8,0.108,-7.84,1,ABC,0.0393,93.668,0.961
107,15733,"[""D'Angelo""]",0.16,0.838,0.304,4oPNN7syJYSjzDhRerF966,0.0257,4,0.0828,-9.975,0,Untitled (How Does It Feel),0.0628,112.618,0.221
108,15736,['Enya'],0.907,0.23,0.159,0y6DSMwFO6cLKN1XB85cGV,0.924,5,0.102,-16.315,1,A Day Without Rain,0.0323,70.61399999999998,0.039
109,15737,['Coldplay'],0.0334,0.396,0.8029999999999999,0qksx8mV28lztYIZ1om8ml,0.0,4,0.0688,-6.186,1,Shiver,0.0487,116.705,0.286
110,15739,['Puerto Rican Power'],0.337,0.6679999999999999,0.8740000000000001,5uRd1tmUAvfFGSPR5266Xp,2.13e-06,5,0.0338,-8.751,0,Tu Cariñito,0.0469,187.435,0.921
111,15740,['La Unión'],0.0388,0.637,0.95,3M1H1CWjrSq7nxABHc8EXv,0.000138,9,0.0529,-7.5470000000000015,1,Lobo-hombre en París,0.0736,146.29,0.622
112,15741,['Joni Mitchell'],0.868,0.258,0.139,1pjATX7sbd6Y4jMVqIvzHk,0.00149,2,0.1,-13.522,1,Both Sides Now,0.0317,77.995,0.139
113,15743,['The Cult'],4.82e-06,0.55,0.765,4vnLdmUdkOworoveEzpEST,0.873,7,0.132,-8.684,1,She Sells Sanctuary,0.0287,139.453,0.417
114,15744,['The Beatles'],0.0904,0.564,0.8270000000000001,5hhF25sWnZvXhimOHLjTRE,3.73e-06,7,0.127,-7.089,1,I Feel Fine - Remastered 2015,0.0283,89.84700000000002,0.912
115,15745,['Radiohead'],0.315,0.168,0.302,69pwmeyvQMuHMtkCmpEWhQ,0.79,6,0.11,-11.645,0,How To Disappear Completely,0.0344,102.041,0.205
116,15747,['3 Doors Down'],0.00528,0.487,0.7020000000000001,3PbHle8KhJp6GuO1jLdEmQ,4.97e-06,7,0.129,-6.0429999999999975,1,Be Like That,0.0238,95.982,0.306
117,15751,['The Beatles'],0.12,0.665,0.782,29b2b96jozyD9GPCkOrVLs,4.19e-06,6,0.125,-8.437999999999999,0,Day Tripper - Remastered 2015,0.0307,137.453,0.731
118,15752,['Linkin Park'],0.0037,0.421,0.978,5uuXtfqM7Wp3idCxyHeOll,0.0,6,0.111,-4.004,0,With You,0.302,196.921,0.359
119,15754,['The Beatles'],0.147,0.472,0.856,0Ui8KPWZbJJQ2Y0CIQuVqX,2.78e-06,7,0.595,-6.03,1,Paperback Writer - Remastered 2015,0.0562,78.696,0.841
120,15755,['Linkin Park'],0.375,0.73,0.585,0fxGA5lxrdYNYoE7yJxTNZ,0.0101,0,0.147,-9.274,1,My December,0.0238,100.021,0.721
121,15756,['Ronan Keating'],0.161,0.456,0.448,0gcjc7Vt5xtcfmJgf6g2IO,1.19e-06,7,0.0811,-10.665,1,When You Say Nothing At All,0.0251,173.885,0.418
122,15757,['The Corrs'],0.0541,0.607,0.82,5OQGeJ1ceykovrykZsGhqL,6.8e-05,11,0.269,-7.754,1,Breathless,0.0597,126.988,0.768
123,15758,['Cypress Hill'],0.0141,0.797,0.762,5hYr8yRbQLFE20oS7Mi3T2,1.05e-05,10,0.064,-6.972,1,(Rock) Superstar,0.259,94.224,0.722
124,15759,['Los Cadetes De Linares'],0.334,0.6829999999999999,0.556,2c6j8sFoaNDbMfolV1eJFp,0.000414,5,0.0702,-12.146,1,Flor de Capomo,0.0706,112.784,0.773
125,15764,['Blur'],0.00188,0.6579999999999999,0.7090000000000001,3GfOAdcoc3X5GPiiXmpBjK,0.00447,8,0.0657,-6.7360000000000015,1,Song 2,0.0904,129.69899999999998,0.855
126,15766,['Enya'],0.726,0.6,0.3720000000000001,4MJ4El9vcKHOQT2RNIhrh2,0.59,0,0.154,-10.477,1,Wild Child,0.0256,79.705,0.5529999999999999
127,15767,['Dead Prez'],0.000633,0.725,0.737,2HoDr1yVksl19omOhc1zWy,0.00417,4,0.109,-7.4529999999999985,1,Hip Hop,0.324,77.161,0.219
128,15769,['Linkin Park'],0.0171,0.544,0.935,6UzeOH4bRPzKTo2wCXMZmC,0.00301,6,0.297,-4.159,0,By Myself,0.173,103.026,0.339
129,15771,['Limp Bizkit'],0.00152,0.6,0.938,6Zj3YsYfj8YTY9aGMDnpn8,1.4800000000000002e-05,1,0.369,-3.615,1,Hot Dog,0.0701,101.183,0.597
130,15772,['Eminem'],0.127,0.81,0.7240000000000001,18ohWhzbMCynq5QJ68ifkW,0.0,4,0.306,-6.153,0,Criminal,0.268,101.941,0.573
131,15781,['Limp Bizkit'],0.00231,0.458,0.978,6holGuk1jKHTdWyWBOZi8l,2.12e-06,11,0.111,-2.389,1,My Generation,0.191,104.012,0.342
132,15782,['The Beatles'],0.871,0.401,0.189,4E5rL7YL0hVUPqeMSpjEF2,0.0,0,0.0968,-11.189,1,Yesterday - Remastered 2015,0.0287,94.509,0.357
133,15785,['Millencolin'],0.000287,0.383,0.986,3KLkRy9l3us98SIp6mmxkk,0.0,9,0.179,-2.7960000000000003,1,No Cigar,0.0617,157.871,0.578
134,15791,['The Beatles'],0.141,0.65,0.777,1raiIrqaqRAqZmQWZlLuBd,0.343,2,0.215,-4.984,1,Lady Madonna - Remastered 2015,0.0294,109.608,0.574
135,15795,"['A Touch Of Class', 'Pete Konemann']",0.153,0.617,0.977,7CvOnbFdnIoXMQ4eFCo5lB,0.0016,9,0.133,-7.028,0,Around the World (La La La La La) - Radio Version,0.0276,131.965,0.679
136,15797,['Linkin Park'],0.0132,0.615,0.947,7kxM3UJwN6rHAW5kwdlAHK,0.0,8,0.366,-3.817,0,Forgotten,0.11,108.193,0.498
137,15798,['Linkin Park'],0.000391,0.484,0.913,1gAaRSN57UYVRI4eWRyAvP,0.0,6,0.309,-4.305,1,Pushing Me Away,0.0425,103.103,0.279
138,15801,['The Beatles'],0.0635,0.378,0.677,1hTUFqJuQAMjXVGwUPWDqi,0.0,2,0.183,-8.63,1,We Can Work It Out - Remastered 2015,0.0298,106.071,0.648
139,15802,['azul azul'],0.119,0.923,0.768,0Tl84qfow6Dv0PM60zoBhb,0.0,1,0.0689,-7.3210000000000015,1,La Bomba,0.0674,94.013,0.96
140,15806,['Jimmy Eat World'],0.0371,0.643,0.8490000000000001,6GG73Jik4jUlQCkKg9JuGO,0.0,2,0.058,-5.428,1,The Middle,0.0526,162.15200000000004,0.903
141,15807,['Train'],0.154,0.468,0.64,2hKdd3qO7cWr2Jo0Bcs0MA,0.0,0,0.154,-5.862,1,Drops of Jupiter (Tell Me),0.0275,79.297,0.499
142,15808,['Papa Roach'],0.000481,0.589,0.89,5W8YXBz9MTIDyrpYaCg2Ky,0.00082,4,0.201,-3.719,0,Last Resort,0.0603,90.598,0.6920000000000001
143,15809,['Weezer'],0.00719,0.654,0.81,2MLHyLy5z5l5YRp7momlgw,0.00251,4,0.165,-6.26,0,Island In The Sun,0.0288,114.623,0.6609999999999999
144,15810,['System Of A Down'],0.000278,0.419,0.934,2DlHlPMa4M17kufBvI2lEN,0.0015,7,0.132,-3.908,0,Chop Suey!,0.12,127.288,0.286
145,15811,['Gorillaz'],0.0249,0.6629999999999999,0.6940000000000001,7yMiX7n9SBvadzox8T5jzT,0.0,10,0.0698,-8.627,0,Clint Eastwood,0.172,167.96400000000003,0.524
146,15812,['Nickelback'],0.00135,0.446,0.764,0gmbgwZ8iqyMPmXefof8Yf,0.0,10,0.099,-5.042,1,How You Remind Me,0.033,172.09400000000005,0.5429999999999999
